"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1,J2";"IDC-Header_2x03_P2.54mm_Vertical";2;"Conn_02x03_Odd_Even";;;
2;"SW2,SW3,SW1,SW4";"4P_DIP";4;"SW_DIP_x04";;;
3;"R25,R31,R29,R21,R27,R1,R23,R19";"R_0603_1608Metric";8;"18k";;;
4;"U2,U1";"SOIC-28W_7.5x17.9mm_P1.27mm";2;"MCP23017_SO";;;
5;"J4,J3";"2pinblock";2;"Screw_Terminal_01x02";;;
6;"LOGO2";"Frank logo small";1;"Frank_logo_small";;;
7;"Q5,Q6,Q2,Q4,Q3,Q1,Q7,Q8";"SOT-23";8;"AO3401A";;;
8;"TH6,TH2,TH4,TH5,TH1,TH8,TH7,TH3";"R_0603_1608Metric";8;"Fuse_PTC";;;
9;"C1,C2,C4,C3,C19,C10,C7,C17,C20,C12,C8,C14,C18,C15,C11,C13,C6,C9,C21,C16";"C_0603_1608Metric";20;"100nf";;;
10;"RN1,RN2,RN9,RN6,RN7,RN5,RN8,RN3,RN4,RN10";"R_Array_Convex_4x0603";10;"10k";;;
11;"R32,R24,R2,R26,R22,R30,R28,R20";"R_0603_1608Metric";8;"10k";;;
12;"C5";"CP_Elec_10x10";1;"330uf 50v";;;
13;"RJ45-1";"R-RJ45R08P-8000";1;"R-RJ45R08P-8000";;;
14;"LOGO1";"Creations logo med";1;"Creations_logo_med";;;
15;"D1,D2";"D_SOD-123F";2;"SM4007";;;
16;"R10,R8,R14,R12,R16,R6,R18,R5";"R_0603_1608Metric";8;"12k";;;
17;"P4,P2,P6,P5,P1,P8,P7,P3";"SOIC-14_3.9x8.7mm_P1.27mm";8;"LM339";;;
18;"RN17,RN13,RN14,RN12,RN11,RN15,RN16,RN18";"R_Array_Convex_4x0603";8;"2k2";;;
19;"R17,R11,R9,R3,R15,R7,R13,R4";"R_0603_1608Metric";8;"4k7";;;
20;"J5,J6";"JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal";2;"Conn_01x05_MountingPin";;;
